h3_cell,hotspot_name,center_lat,center_lon,PCRI,priority_score,confidence,enforcement_tier,violations,persistence_pct,chronicity_score,dominant_violation,root_cause,recommendation,peak_hour,insight
89618920923ffff,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.933558265103462,77.69097917400607,56.52478118301389,82.31329573866375,93.77168933428844,Critical,6749,71.1,626.9098724329134,NO PARKING,Demand Overflow,Create dedicated parking capacity,22,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India) has a PCRI of 56.5 from 6749 violations. Primary issue: Demand Overflow. Recommended enforcement around 22:00."
89618920963ffff,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.939764515503825,77.69553100718927,54.16994178536664,66.651071575299,77.8465372262839,Critical,1509,55.3,404.788530618436,PARKING IN A MAIN ROAD,Road Capacity Reduction,Increase enforcement and towing,3,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India) has a PCRI of 54.2 from 1509 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 3:00."
8961892e16bffff,"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",12.996057936999968,77.6681954762887,50.703233655098934,70.09577380049767,76.30297122006834,Critical,1305,78.3,561.7809134601882,PARKING IN A MAIN ROAD,Road Capacity Reduction,Increase enforcement and towing,4,"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India) has a PCRI of 50.7 from 1305 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 4:00."
89618920babffff,"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.950922744866661,77.69983822492487,50.08617810718283,63.569372924825394,73.21630270247206,Critical,976,60.5,416.51144244858835,PARKING IN A MAIN ROAD,Heavy Vehicle Obstruction,Restrict heavy vehicle parking,22,"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India) has a PCRI of 50.1 from 976 violations. Primary issue: Heavy Vehicle Obstruction. Recommended enforcement around 22:00."
896189219cfffff,"Whitefield Road, Sadaramangala Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",12.98756361482821,77.73474810452079,49.122608833055295,50.39636177793919,67.18285114098033,Critical,553,22.4,141.50448898313914,PARKING ON FOOTPATH,Road Capacity Reduction,Increase enforcement and towing,6,"Whitefield Road, Sadaramangala Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India) has a PCRI of 49.1 from 553 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 6:00."
8961892e3b7ffff,"MBT Road, Tin Factory Junction, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",12.996722452990909,77.66935016452817,49.04719389907849,65.75771712921225,69.59430016484939,Critical,694,72.4,473.779217618891,PARKING IN A MAIN ROAD,Heavy Vehicle Obstruction,Restrict heavy vehicle parking,4,"MBT Road, Tin Factory Junction, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India) has a PCRI of 49.0 from 694 violations. Primary issue: Heavy Vehicle Obstruction. Recommended enforcement around 4:00."
8960145b553ffff,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",12.976630847034562,77.57630610766313,46.963258283535666,91.15137131588567,100.0,Critical,12123,100.0,940.2942238177694,NO PARKING,General Illegal Parking,Routine monitoring,3,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India) has a PCRI of 47.0 from 12123 violations. Primary issue: General Illegal Parking. Recommended enforcement around 3:00."
8960145b59bffff,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",12.964325034026825,77.57663849514333,45.979609833406975,84.38005018787796,96.3303614905534,Critical,8585,100.0,905.7888248784506,WRONG PARKING,General Illegal Parking,Routine monitoring,19,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India) has a PCRI of 46.0 from 8585 violations. Primary issue: General Illegal Parking. Recommended enforcement around 19:00."
8961892e9abffff,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.981677091232601,77.60784972772278,44.774140549576316,79.47921846653895,93.64170299930635,Critical,6667,98.0,862.897373899327,WRONG PARKING,Demand Overflow,Create dedicated parking capacity,5,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India) has a PCRI of 44.8 from 6667 violations. Primary issue: Demand Overflow. Recommended enforcement around 5:00."
8960145b427ffff,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",12.977509678695363,77.57893652681413,44.182312680826534,80.48957879766836,94.70623938352747,Critical,7369,99.3,884.2836774287099,NO PARKING,General Illegal Parking,Routine monitoring,19,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India) has a PCRI of 44.2 from 7369 violations. Primary issue: General Illegal Parking. Recommended enforcement around 19:00."
8960145a26bffff,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",12.974340195346292,77.54519293219272,43.49053946871109,66.30747999082084,87.24479560907969,Critical,3653,75.0,615.2683302703464,WRONG PARKING,Demand Overflow,Create dedicated parking capacity,3,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India) has a PCRI of 43.5 from 3653 violations. Primary issue: Demand Overflow. Recommended enforcement around 3:00."
8960145b5cbffff,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",12.973735256749759,77.5786676057273,43.366113600070356,77.66587720650735,92.50665568423125,Critical,5992,100.0,869.8347400458185,NO PARKING,General Illegal Parking,Routine monitoring,3,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India) has a PCRI of 43.4 from 5992 violations. Primary issue: General Illegal Parking. Recommended enforcement around 3:00."
